"subj_id","worry","reap","sex"
1,4.80483510757217,3,1
2,4.02602712077081,1,1
3,3.00117013024259,4,1
4,3.48955852121935,5,1
5,5.11638519948982,1,1
6,4.35930439330847,2,1
7,4.0444568963311,3,1
8,2.75112279851928,4,1
9,5.17151212918295,4,1
10,4.97686230199335,5,1
11,3.05846142931349,3,1
12,4.66442315201445,4,1
13,5.05029387932156,2,1
14,5.33684630219513,5,1
15,4.60065813249061,2,1
16,3.90315222006779,2,1
17,3.5831550592199,5,1
18,2.16337299450582,2,1
19,4.11076199854651,4,1
20,4.79653095666451,1,1
21,2.07226222462263,3,1
22,4.18034949737411,3,1
23,4.52823076455461,1,1
24,2.77674333153234,4,1
25,3.10776398779419,3,1
26,3.50742782517808,3,1
27,3.28227317733334,5,1
28,3.67662545831038,5,1
29,3.99942919340924,4,1
30,4.98619376341162,2,1
31,4.1958385543274,3,1
32,4.73574306712889,1,1
33,4.00752119976578,4,1
34,5.21342486699778,4,1
35,4.28647741283412,5,1
36,5.82844230847938,1,1
37,4.09322209583068,2,1
38,3.55482680298074,4,1
39,6.64471648180787,1,1
40,3.34314792165833,3,1
41,5.07622602564672,1,1
42,4.83885336282115,1,1
43,3.71539479768402,3,1
44,3.72181381885482,3,1
45,4.22880714093468,3,1
46,3.3447696102918,2,1
47,3.47912402504959,5,1
48,3.85289962376228,3,1
49,4.28061221229367,1,1
50,3.21028152232421,1,1
51,3.70964970930439,3,1
52,5.21148444417921,1,1
53,6.80303387394786,3,1
54,2.97228260058585,3,1
55,5.94492991141643,2,1
56,3.59740749748581,1,1
57,3.84681234784968,5,1
58,3.57092858071215,4,1
59,5.16959514828057,2,1
60,2.48891030940177,4,1
61,5.70284527336312,2,1
62,4.6636662363244,2,1
63,4.5364121582752,1,1
64,4.50304182268027,5,1
65,4.97562207418112,1,1
66,4.23737615394824,4,1
67,3.48180414228265,2,1
68,4.91884526695034,3,1
69,4.31862810900035,1,1
70,2.66620884549953,4,1
71,2.87766256388662,4,1
72,5.39189517980102,3,1
73,5.02768018874388,4,1
74,4.11849936066164,4,1
75,3.96419419356391,3,1
76,3.57615669766854,3,1
77,4.83101959714269,1,1
78,4.61731380582827,1,1
79,5.34806576775903,5,1
80,4.66390108987649,4,1
81,4.57664002359577,2,1
82,4.46636760327991,1,1
83,3.1058572899429,4,1
84,2.59932934962679,5,1
85,3.25722691136124,3,1
86,4.43514079066323,2,1
87,4.02046305789803,4,1
88,5.77888966352923,1,1
89,5.05368761564755,1,1
90,4.42840245223864,5,1
91,4.80871350622,2,1
92,4.26910545710607,3,1
93,4.45862124739491,4,1
94,4.47060677164381,2,1
95,5.88565564128732,1,1
96,5.57265150261721,4,1
97,4.23208926110934,3,1
98,3.59285905454457,3,1
99,2.99124673363125,1,1
100,4.56614803743538,4,1
101,4.95119385125501,3,0
102,3.6844226881295,4,0
103,2.19042634710979,1,0
104,3.03920526808802,4,0
105,4.18120945918734,3,0
106,3.8684364252541,3,0
107,3.27127784721128,3,0
108,5.53973363557882,4,0
109,3.91865929652929,4,0
110,2.75701310937366,1,0
111,2.55121032124209,3,0
112,1.71717255598434,5,0
113,4.22861938514871,3,0
114,3.86559636406722,3,0
115,3.85306457535402,1,0
116,3.71711966686615,4,0
117,4.11445142404769,5,0
118,4.9995088824706,3,0
119,4.22155908372587,3,0
120,2.06383213793026,1,0
121,4.12735991894821,2,0
122,3.49859903781057,3,0
123,4.43129804916835,4,0
124,4.71291687126259,1,0
125,3.0442214035107,1,0
126,3.67799483914493,3,0
127,3.45110276198428,4,0
128,2.53276615379951,2,0
129,3.36217579083065,3,0
130,3.22798053746593,1,0
131,2.51036813331925,4,0
132,4.7957038536548,4,0
133,4.18406186869661,3,0
134,3.72553656754456,3,0
135,0.902670630004025,1,0
136,2.37804192464112,1,0
137,4.96280522658705,5,0
138,4.21528328696578,4,0
139,4.18611581367003,4,0
140,2.60766107594962,5,0
141,2.87451474430602,4,0
142,1.25417333586355,2,0
143,3.65048068290314,2,0
144,3.72037615594803,3,0
145,3.66108859577855,5,0
146,3.29005956078592,4,0
147,3.51330803939881,1,0
148,4.01014117954417,4,0
149,2.54068578861817,2,0
150,3.87729524411797,1,0
151,5.56896120486579,5,0
152,3.33789453470481,2,0
153,2.49679823277962,1,0
154,5.37577818595164,5,0
155,3.48162471138683,3,0
156,5.31764367926908,5,0
157,5.90070151777133,4,0
158,4.7909184092544,1,0
159,5.39089897409217,3,0
160,3.99333389312767,5,0
161,1.91580741927868,1,0
162,2.27985647434829,3,0
163,5.76767615307569,2,0
164,4.51509596071785,5,0
165,3.87135303915122,5,0
166,4.57172710237654,4,0
167,4.415915295624,3,0
168,4.14133128958398,1,0
169,2.03505127892983,4,0
170,4.53432658410501,2,0
171,4.61447073035132,3,0
172,4.11300824274255,5,0
173,2.79354133864743,2,0
174,4.58811227634881,2,0
175,3.63801624400312,5,0
176,3.23391892702167,5,0
177,3.68863856326147,3,0
178,2.98477825724753,2,0
179,4.59665933287703,4,0
180,5.20941239300115,4,0
181,3.46348391637556,2,0
182,4.71119661510375,5,0
183,2.79101029858409,3,0
184,3.80439117334856,3,0
185,0.957017723750542,2,0
186,5.70187104090067,5,0
187,3.77895644403332,5,0
188,5.30662777381908,5,0
189,2.5037385854485,1,0
190,3.52145350471257,3,0
191,4.36605681835548,1,0
192,3.80941557310697,4,0
193,6.2117767200004,4,0
194,4.95508357754018,1,0
195,2.68409956147345,1,0
196,2.94613168898555,2,0
197,4.78047353634632,2,0
198,3.2992322782968,4,0
199,3.23602263566607,1,0
200,2.52390896265879,3,0
